cell_id,vulnerability_score,risk_level,elevation,slope,flow_accumulation,imperviousness,norm_elevation,norm_slope,norm_flow_accumulation,norm_imperviousness,contrib_elevation,contrib_flow_accumulation,contrib_imperviousness,contrib_slope,is_synthetic
CELL_KOY_02,0.9101,high,9.8,0.2,125000.0,0.88,0.8643,0.9865,0.9335,0.9048,0.3025,0.2334,0.2262,0.148,True
CELL_MAN_01,0.9283,high,8.8,0.2,175000.0,0.87,0.8869,0.9865,0.9869,0.8929,0.3104,0.2467,0.2232,0.148,True
CELL_MAN_02,0.8962,high,9.5,0.3,110000.0,0.85,0.871,0.973,0.9132,0.869,0.3048,0.2283,0.2172,0.1459,True
CELL_PAL_01,0.9415,high,5.8,0.1,185000.0,0.82,0.9548,1.0,0.9958,0.8333,0.3342,0.249,0.2083,0.15,True
CELL_PAL_02,0.9147,high,6.2,0.2,145000.0,0.78,0.9457,0.9865,0.9571,0.7857,0.331,0.2393,0.1964,0.148,True
CELL_ADY_01,0.7123,high,13.2,1.1,15000.0,0.65,0.7873,0.8649,0.5966,0.631,0.2756,0.1492,0.1578,0.1297,True
CELL_ADY_02,0.7078,high,14.5,1.4,12000.0,0.72,0.7579,0.8243,0.5612,0.7143,0.2653,0.1403,0.1786,0.1236,True
CELL_MYL_01,0.7783,high,12.8,0.9,18500.0,0.82,0.7964,0.8919,0.6299,0.8333,0.2787,0.1575,0.2083,0.1338,True
CELL_MYL_02,0.7184,high,11.0,1.2,9500.0,0.68,0.8371,0.8514,0.524,0.6667,0.293,0.131,0.1667,0.1277,True
CELL_ANN_01,0.6785,medium,16.0,1.5,11000.0,0.68,0.724,0.8108,0.5473,0.6667,0.2534,0.1368,0.1667,0.1216,True
CELL_ANN_02,0.7064,high,15.2,1.2,14000.0,0.7,0.7421,0.8514,0.5857,0.6905,0.2597,0.1464,0.1726,0.1277,True
CELL_KOD_01,0.7599,high,13.5,1.0,19000.0,0.78,0.7805,0.8784,0.6342,0.7857,0.2732,0.1585,0.1964,0.1318,True
CELL_ALN_01,0.6265,medium,17.5,1.8,8500.0,0.6,0.69,0.7703,0.5064,0.5714,0.2415,0.1266,0.1429,0.1155,True
CELL_AMB_01,0.709,high,18.0,1.6,22000.0,0.75,0.6787,0.7973,0.6575,0.75,0.2375,0.1644,0.1875,0.1196,True
CELL_AMB_02,0.6601,medium,16.5,1.1,35000.0,0.45,0.7127,0.8649,0.7312,0.3929,0.2494,0.1828,0.0982,0.1297,True
CELL_GUI_01,0.3741,low,22.0,2.8,2200.0,0.12,0.5882,0.6351,0.2917,0.0,0.2059,0.0729,0.0,0.0953,True
CELL_GUI_02,0.3561,low,24.5,3.2,1800.0,0.18,0.5317,0.5811,0.2598,0.0714,0.1861,0.0649,0.0179,0.0872,True
CELL_STM_01,0.0387,low,48.0,7.5,350.0,0.25,0.0,0.0,0.0,0.1548,0.0,0.0,0.0387,0.0,True
CELL_STM_02,0.2242,low,36.0,5.8,850.0,0.32,0.2715,0.2297,0.1407,0.2381,0.095,0.0352,0.0595,0.0345,True
CELL_SEM_01,0.4345,medium,18.5,2.1,2800.0,0.15,0.6674,0.7297,0.33,0.0357,0.2336,0.0825,0.0089,0.1095,True
CELL_THI_01,0.4373,medium,12.5,3.5,1100.0,0.22,0.8032,0.5405,0.1816,0.119,0.2811,0.0454,0.0297,0.0811,True
CELL_IIT_01,0.4127,medium,21.0,2.4,3100.0,0.15,0.6109,0.6892,0.3462,0.0357,0.2138,0.0866,0.0089,0.1034,True
CELL_POR_01,0.4738,medium,26.0,3.0,4500.0,0.48,0.4977,0.6081,0.4053,0.4286,0.1742,0.1013,0.1071,0.0912,True
